,Title,URL,Description,Salary,Location,Degree Required,Hiring Multiple Candidates,Duration,Starting,Deadline
108,Graduate Systems Engineer,https://www.gradcracker.com/hub/1091/fortinet/graduate-job/62438/graduate-systems-engineer,"IT, Cyber Security, Computer Science, Systems.",Competitive,London (Hybrid),All grades,June 2025,Ongoing,N/A,N/A
109,Junior Data Scientist,https://www.gradcracker.com/hub/691/reply/graduate-job/61851/junior-data-scientist,"Maths, IT, Computer Science, Data Science.",Competitive,London (Hybrid),Master's and above,Ongoing,N/A,N/A,N/A
110,Analyst Programme - Corporate & Strategic Functions - Business & Technology Audit - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/61999/analyst-programme-corporate-and-strategic-functions-business-and-technology-audit-2025,"Analytics, Finance, FinTech, Business, Audit.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
111,(Senior) Product Data Analyst,https://www.gradcracker.com/hub/1119/aurora-energy-research/graduate-job/62328/senior-product-data-analyst,"Analytics, Maths, Statistics, Computer Science, Data Science.",Competitive,Oxford (Hybrid),1 and above,Immediate Start,Ongoing,N/A,N/A
112,Senior Technical Engineers,https://www.gradcracker.com/hub/578/tpp/graduate-job/36738/senior-technical-engineers,"Computing, Hardware, Systems.","£60,000",Leeds,1 and above,Yes,Ongoing,N/A,N/A
113,Oliver Wyman - Risk Delivery Team – Delivery Consultant,https://www.gradcracker.com/hub/1115/oliver-wyman/graduate-job/59584/oliver-wyman-risk-delivery-team-delivery-consultant,"Maths, Computing, Economics, Finance.",Competitive,Newcastle (Hybrid),1 and above,Yes,Ongoing,N/A,N/A
114,Graduate Technical Engineer,https://www.gradcracker.com/hub/578/tpp/graduate-job/34542/graduate-technical-engineer,"Computing, Hardware, Cyber Security.","£60,000",Leeds,1 and above,Yes,Ongoing,N/A,N/A
115,Graduate Developers - Autumn 2024 start,https://www.gradcracker.com/hub/514/dorset-software-services/graduate-job/38246/graduate-developers-autumn-2024-start,"Web Development, Computer Science, Maths, Physics, Chemistry, Mechanical, Electronics.","£27,000 during initial 5-month training period, rising to £31,000 on completion",Poole,1 and above,Yes,September 2024,Ongoing,N/A
116,Graduate Developers - Autumn 2024 start,https://www.gradcracker.com/hub/514/dorset-software-services/graduate-job/38245/graduate-developers-autumn-2024-start,"Web Development, Computer Science, Maths, Physics, Chemistry, Mechanical, Electronics.","Salary of £27,000 during initial training, rising to £31,000 on completion",Oxford,1 and above,Yes,September 2024,Ongoing,N/A
117,Graduate Developers - Autumn 2024 start,https://www.gradcracker.com/hub/514/dorset-software-services/graduate-job/62266/graduate-developers-autumn-2024-start,"Web Development, Computer Science, Maths, Physics, Chemistry, Mechanical, Electronics.","£27,000 during initial 5-month training period, rising to £31,000 on completion",Manchester,1 and above,Yes,September 2024,Ongoing,N/A
118,Analyst Programme - Investments - Quantitative Investing - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62018/analyst-programme-investments-quantitative-investing-2025,"Analytics, Data, Finance, Statistics, Computing.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
119,Research Fellowship: Applied Physics and Engineering,https://www.gradcracker.com/hub/759/cern/graduate-job/61740/research-fellowship-applied-physics-and-engineering,"Physics, Electronic, Mechanical, Computing, Maths.","6,650 Swiss francs per month (net of tax)",Geneva (Switzerland),Master's/PhD,"September 2nd, 2024",N/A,N/A,N/A
120,Graduate Engineer/Developer,https://www.gradcracker.com/hub/903/proactsis-controls/graduate-job/34515/graduate-engineer-developer,"Robotics, Mechatronics, Electronics, Computing, Automotive.","£28,000 - £30,000",Norwich,1 and above,Immediate Start,"August 28th, 2024",N/A,N/A
121,Graduate Electronics Engineer,https://www.gradcracker.com/hub/679/leonardo/graduate-job/58952/graduate-electronics-engineer,"Computing, Electrical, Electronic, Hardware, Systems.","£32,000","Crewe Toll, Edinburgh (Hybrid)",1 and above,Yes,Ongoing,N/A,N/A
122,Computational Physicist (Machine Learning and Optimal Control),https://www.gradcracker.com/hub/759/cern/graduate-job/62556/computational-physicist-machine-learning-and-optimal-control,"Computing, Physics, Maths, Analytics, Data.","5,134 and 5,647 Swiss Francs per month (net of tax)",Geneva (Switzerland),Master's and above,November 2024,"October 10th, 2024",N/A,N/A
123,Nuage Networks Engineer,https://www.gradcracker.com/hub/743/nokia/graduate-job/25260/nuage-networks-engineer,"Telecommunications, Software, Systems.",Competitive,Bristol,All grades,Ongoing,N/A,N/A,N/A
124,Network Management Engineer,https://www.gradcracker.com/hub/743/nokia/graduate-job/25276/network-management-engineer,"Telecommunications, Software, Systems.",Competitive,Bristol,All grades,Ongoing,N/A,N/A,N/A
125,Communications Integration Engineer,https://www.gradcracker.com/hub/137/qinetiq/graduate-job/62449/communications-integration-engineer,"Software, Systems, Telecommunications.",Competitive,Portsmouth,All grades,Ongoing,N/A,N/A,N/A
126,Commercial Managers,https://www.gradcracker.com/hub/578/tpp/graduate-job/31221/commercial-managers,"IT, Systems, Software.","£60,000",Leeds,1 and above,Yes,Ongoing,N/A,N/A
127,Analyst Programme - Client & Product Functions - Sales & Relationship Management – Fintech Platform - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/61996/analyst-programme-client-and-product-functions-sales-and-relationship-management-fintech-platform-2025,"Analytics, Finance, FinTech, Software.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
128,Communications Integration Engineer,https://www.gradcracker.com/hub/137/qinetiq/graduate-job/62185/communications-integration-engineer,"Software, Systems, Telecommunications, Electronic.",Competitive,Portsmouth,All grades,Ongoing,N/A,N/A,N/A
129,Design Engineer – Off-Highway Plant,https://www.gradcracker.com/hub/964/rail-ability/graduate-job/50122/design-engineer-off-highway-plant,"Software, Electronic, Mechanical, Mechatronics.","£36,000 - £38,000",Stafford (West Midlands),1 and above,Ongoing,N/A,N/A,N/A
130,Graduate Systems Engineer,https://www.gradcracker.com/hub/1016/smiths-detection/graduate-job/43228/graduate-systems-engineer,"Software, Electronics, Mechanical, Systems.","£26,000",Hemel Hempstead (Hertfordshire),1 and above,Ongoing,N/A,N/A,N/A
131,IT Operations Graduate Programme - London,https://www.gradcracker.com/hub/308/fdm-group/graduate-job/61965/it-operations-graduate-programme-london,"Data, Analytics IT, Software.",Competitive,London,2 and above,Yes,Ongoing,N/A,N/A
132,Mechanical Engineer,https://www.gradcracker.com/hub/759/cern/graduate-job/62554/mechanical-engineer,"Mechanical, Manufacturing, Electronics, Software.","6,212 and 6,828 Swiss Francs per month (net of tax)",Geneva (Switzerland),Master's and above,October 2024,"September 1st, 2024",N/A,N/A
133,Analyst Programme - Investments - Trading & Securities Lending - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62019/analyst-programme-investments-trading-and-securities-lending-2025,"Analytics, Data, Finance, FinTech, Software.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
134,Analyst Programme - Corporate & Strategic Functions - Risk - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62007/analyst-programme-corporate-and-strategic-functions-risk-2025,"Analytics, FinTech, Data, Statistics, Software.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
135,Electronics Engineer for Motion Control,https://www.gradcracker.com/hub/759/cern/graduate-job/61969/electronics-engineer-for-motion-control,"Electronic, Electrical, C&I, Software.","6,212 - 6,828 Swiss Francs per month (net of tax)",Geneva (Switzerland),Master's and above,October 2024,"August 21st, 2024",N/A,N/A
136,Junior Data Engineer,https://www.gradcracker.com/hub/759/cern/graduate-job/62313/junior-data-engineer,"IT, Software, Systems, Data Science.","5,134 and 5,647 Swiss Francs per month (net of tax)",Geneva (Switzerland),2 and above,November 2024,"September 1st, 2024",N/A,N/A
137,Junior Electronics Engineer - Validation and Testing,https://www.gradcracker.com/hub/759/cern/graduate-job/62435/junior-electronics-engineer-validation-and-testing,"Electronics, Electrical, C&I, Software.","5,134 and 5,647 Swiss Francs per month (net of tax)",Geneva (Switzerland),Bachelor's or Master's,October 2024,"August 30th, 2024",N/A,N/A
138,Machine Learning Engineer,https://www.gradcracker.com/hub/759/cern/graduate-job/62446/machine-learning-engineer,"IT, Software, Data Science, Maths.","5,134 and 5,647 Swiss Francs per month (net of tax)",Geneva (Switzerland),Bachelor's or Master's,October 2024,"August 29th, 2024",N/A,N/A
139,Analyst Programme - Investments - Portfolio Management - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62012/analyst-programme-investments-portfolio-management-2025,"Analytics, Finance, Data, Statistics, Software, IT.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
140,Analyst Programme - Operations - Client Experience (CX) Operations - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62022/analyst-programme-operations-client-experience-cx-operations-2025,"Analytics, Data, Finance, Business, Software, IT.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
141,Army Reserve Officer,https://www.gradcracker.com/hub/516/the-british-army/graduate-job/45156/army-reserve-officer,"Physics, Electrical, Eletronics, Photonics.",£87.10 per day,Sandhurst (Berkshire),All grades,Yes,Ongoing,N/A,N/A
142,PhD Studentship - Next generation high power fibre lasers in the visible and ultraviolet wavelength bands,https://www.gradcracker.com/hub/1283/university-of-southampton-orc/graduate-job/60958/phd-studentship-next-generation-high-power-fibre-lasers-in-the-visible-and-ultraviolet-wavelength-bands,"Physics, Electrical, Eletronics, Photonics.","£23,600 (tax-free)",Southampton,1 and above,Yes,"August 31st, 2024",N/A,N/A
143,PhD Studentship - High Energy Laser Beam Combination and Propagation of Tailored Beams,https://www.gradcracker.com/hub/1283/university-of-southampton-orc/graduate-job/60959/phd-studentship-high-energy-laser-beam-combination-and-propagation-of-tailored-beams,"Physics, Electrical, Eletronics, Photonics.","£21,100 (tax-free)",Southampton,1 and above,Yes,"August 31st, 2024",N/A,N/A
144,PhD Studentship - Power scaling strategies for continuous-wave and short pulse fibre lasers operating in the two-micron wavelength band,https://www.gradcracker.com/hub/1283/university-of-southampton-orc/graduate-job/60954/phd-studentship-power-scaling-strategies-for-continuous-wave-and-short-pulse-fibre-lasers-operating-in-the-two-micron-wavelength-band,"Physics, Electrical, Eletronics, Photonics.","£23,600 (tax-free)",Southampton,1 and above,Yes,"August 31st, 2024",N/A,N/A
145,PhD Studentship - Generation after next fibre lasers for defence and security applications,https://www.gradcracker.com/hub/1283/university-of-southampton-orc/graduate-job/60957/phd-studentship-generation-after-next-fibre-lasers-for-defence-and-security-applications,"Physics, Electrical, Eletronics, Photonics.","£23,600 (tax-free)",Southampton,1 and above,Yes,"August 31st, 2024",N/A,N/A
146,Graduate Development Programme,https://www.gradcracker.com/hub/994/heathcoat-fabrics/graduate-job/53875/graduate-development-programme,"Business, Project Management, Manufacturing, Finance, STEM.","£28,082.58","Tiverton, Devon",All grades,Ongoing,N/A,N/A,N/A
147,Analysts,https://www.gradcracker.com/hub/1290/gain-theory/graduate-job/61350/analysts,"Maths, Statistics, Analytics, IT, Economics.","£28,000, rising to £38,000 after 10 months",London,All grades,Yes,Ongoing,N/A,N/A
148,Graduate Data Engineer,https://www.gradcracker.com/hub/881/bluesmith-information-systems/graduate-job/32848/graduate-data-engineer,"IT, Maths, Data Science.",Competitive,Leeds,1 and above,Ongoing,N/A,N/A,N/A
149,Analyst Programme - Client & Product Functions - Product Strategy & Solutions - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/61988/analyst-programme-client-and-product-functions-product-strategy-and-solutions-2025,"IT, Maths, Analytics, Business, Data, Finance.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
150,Analyst Programme - Corporate & Strategic Functions - Finance - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62001/analyst-programme-corporate-and-strategic-functions-finance-2025,"Analytics, Finance, FinTech, Accountancy, Data.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
151,Analyst Programme - Investments - Product Strategy and Solutions - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62016/analyst-programme-investments-product-strategy-and-solutions-2025,"Analytics, Data, Finance, Statistics, Business.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
152,Analyst Programme - Operations - Investment Operations - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62027/analyst-programme-operations-investment-operations-2025,"Analytics, Accountancy, Finance, Business, Data.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
153,Analyst Programme - Operations - Data Operations - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62023/analyst-programme-operations-data-operations-2025,"Analytics, FinTech, Business, Data, AI.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
154,Analyst Programme - Client & Product Functions - Research & Markets Advisory - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/61993/analyst-programme-client-and-product-functions-research-and-markets-advisory-2025,"Analytics, FinTech, Business, Economics.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
155,Analyst Programme - Client & Product Functions - Sales & Relationship Management – Institutional & Retail - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/61995/analyst-programme-client-and-product-functions-sales-and-relationship-management-institutional-and-retail-2025,"Analytics, Data, Business, Finance, Accountancy.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
156,Analyst Programme - Corporate & Strategic Functions - Business Management & Governance - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/61998/analyst-programme-corporate-and-strategic-functions-business-management-and-governance-2025,"Business, Analytics, Finance, Data, Economics.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
157,Analyst Programme - Corporate & Strategic Functions - Human Resources - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62002/analyst-programme-corporate-and-strategic-functions-human-resources-2025,"Business, Data Science, Analytics, Statistics.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
158,Analyst Programme - Corporate & Strategic Functions - Marketing & Corporate Communications - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62006/analyst-programme-corporate-and-strategic-functions-marketing-and-corporate-communications-2025,"Analytics, Finance, Economics, Business, Data.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
159,Analyst Programme - Corporate & Strategic Functions - Legal & Compliance - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62004/analyst-programme-corporate-and-strategic-functions-legal-and-compliance-2025,"Finance, FinTech, Business, Analytics, Data.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
160,Analyst Programme - Corporate & Strategic Functions - Strategic Clients & Initiatives - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62008/analyst-programme-corporate-and-strategic-functions-strategic-clients-and-initiatives-2025,"Analytics, Finance, FinTech, Business, Data.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
161,Analyst Programme - Investments - Investment Research - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62010/analyst-programme-investments-investment-research-2025,"Analytics, Finance, Accountancy, Business, Data.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
162,Analyst Programme - Investments - Private Markets Investing - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62014/analyst-programme-investments-private-markets-investing-2025,"Analytics, Finance, FinTech, Maths, Data, IT.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
163,Graduate Electronic Engineer,https://www.gradcracker.com/hub/1311/ultra-energy/graduate-job/62109/graduate-electronic-engineer,"Electrical, Electronic, C&I, Microelectronics.",Competitive,Wimborne (Dorset),All grades,Ongoing,N/A,N/A,N/A
164,Graduate Research & Development Engineer,https://www.gradcracker.com/hub/1239/vorteq-sports/graduate-job/57369/graduate-research-and-development-engineer,"Aerodynamics, Manufacturing, Materials, Product Design.","£26,500",Silverstone (Northampton),1 and above,"August 24th, 2024",N/A,N/A,N/A
165,Robotic Engineer,https://www.gradcracker.com/hub/759/cern/graduate-job/62120/robotic-engineer,"Robotics, Mechatronics, Mechanical.","6,212 - 6,828 Swiss Francs per month (net of tax)",Geneva (Switzerland),Master's and above,October 2024,"September 1st, 2024",N/A,N/A
166,Research Fellowship: Theoretical Physics,https://www.gradcracker.com/hub/759/cern/graduate-job/62276/research-fellowship-theoretical-physics,"Physics, Maths.","6,808 to 7,218 Swiss francs per month (net of tax)",Geneva (Switzerland),PhD,Yes,January 2025,"October 15th, 2024",N/A
167,Detector Physicist,https://www.gradcracker.com/hub/759/cern/graduate-job/62249/detector-physicist,"Materials Science, Physics.","6,212 - 6,828 Swiss Francs per month (net of tax)",Geneva (Switzerland),Master's and above,September 2024,"August 18th, 2024",N/A,N/A
168,Survey Engineer for HL-LHC,https://www.gradcracker.com/hub/759/cern/graduate-job/62170/survey-engineer-for-hl-lhc,"Analytics, Surveying.","6,212 - 6,828 Swiss Francs per month (net of tax)",Geneva (Switzerland),All grades,January 2025,"September 8th, 2024",N/A,N/A
169,Associate Medical Writer,https://www.gradcracker.com/hub/1061/adelphi/graduate-job/62436/associate-medical-writer,"Pharmacology, Biomedical, Analytics, Data.",Competitive,Bollington (Cheshire),Master's and above,Ongoing,N/A,N/A,N/A
170,CERN Courier Magazine Advertising Sales & Marketing Officer,https://www.gradcracker.com/hub/759/cern/graduate-job/62443/cern-courier-magazine-advertising-sales-and-marketing-officer,"Business, Economics, Analytics, Data.","5,134 and 5,647 Swiss Francs per month (net of tax)",Geneva (Switzerland),Bachelor's or Master's,October 2024,"September 4th, 2024",N/A,N/A
171,Research Executive,https://www.gradcracker.com/hub/1061/adelphi/graduate-job/62190/research-executive,"Project Management, Pharmacology, Biomedical, Data, Analytics.",Competitive,Bollington (Cheshire),1 and above,September 2024,Ongoing,N/A,N/A
172,Research Associate,https://www.gradcracker.com/hub/1061/adelphi/graduate-job/59381/research-associate,"Data, Analytics, Statistics, Maths.",Competitive,Bollington (Cheshire),1 and above,Ongoing,N/A,N/A,N/A
173,Observational Research Executive,https://www.gradcracker.com/hub/1061/adelphi/graduate-job/60632/observational-research-executive,"Biology, Biomedical, Pharmacology, Environmental.",Competitive,Bollington (Cheshire) (Hybrid),2 and above,Ongoing,N/A,N/A,N/A
174,Research Associate,https://www.gradcracker.com/hub/1061/adelphi/graduate-job/59386/research-associate,"Data, Analytics, Statistics, Biomedical, Pharmacology.",Competitive,Bollington (Cheshire),1 and above,Ongoing,N/A,N/A,N/A
175,Actuarial Trainee,https://www.gradcracker.com/hub/1128/aviva-plc/graduate-job/61838/actuarial-trainee,"Finance, Maths, Analytics, Statistics.","£35,000",Bristol and York,All grades,Yes,September 2024,Ongoing,N/A
176,Graduate DFT Engineer,https://www.gradcracker.com/hub/105/cirrus-logic/graduate-job/61534/graduate-dft-engineer,"Electrical, Electronics, C&I.",Competitive,Edinburgh (Hybrid),All grades,Ongoing,N/A,N/A,N/A
177,Audit & Assurance Graduate Programme,https://www.gradcracker.com/hub/301/deloitte/graduate-job/56042/audit-and-assurance-graduate-programme,"Finance, Maths, Analytics, Accountancy.",Competitive,Various locations,1 and above,December 2024,Ongoing,N/A,N/A
178,Business Solutions Graduate Scheme,https://www.gradcracker.com/hub/1181/halo-service-solutions/graduate-job/61560/business-solutions-graduate-scheme,"Business, Analytics, Economics, Statistics.","£30,000",Stowmarket (Suffolk),1 and above,"August 31st, 2024",N/A,N/A,N/A
179,Sales & Marketing Coordinator,https://www.gradcracker.com/hub/1279/fugro/graduate-job/62274/sales-and-marketing-coordinator,"Business, Geology, Project Management.",Competitive,Wallingford (Oxfordshire) (Hybrid),All grades,Ongoing,N/A,N/A,N/A
180,2024 Graduate Electrical Engineer,https://www.gradcracker.com/hub/213/hoare-lea/graduate-job/62143/2024-graduate-electrical-engineer,"Electrical, Electronic.",Competitive,Bristol,1 and above,September 2024,Ongoing,N/A,N/A
181,Graduate Quality Inspector,https://www.gradcracker.com/hub/963/honeywell/graduate-job/61907/graduate-quality-inspector,"Maths, Manufacturing, Project Management, Physics.",Competitive,Redditch (Worcestershire),All grades,Ongoing,N/A,N/A,N/A
182,Assembler - Level 1,https://www.gradcracker.com/hub/963/honeywell/graduate-job/62297/assembler-level-1,"Aerospace, Manufacturing, Product Design.",Competitive,Horsham (West Sussex),All grades,Ongoing,N/A,N/A,N/A
183,Graduate Data Analysts,https://www.gradcracker.com/hub/839/ipsos-jarmany/graduate-job/38295/graduate-data-analysts,"Analytics, Maths, Statistics, Data Science.","£25,000 rising progressively to £30,000",London,1 and above,Yes,Immediate Start,Ongoing,N/A
184,Business Development – Graduate,https://www.gradcracker.com/hub/923/keyence/graduate-job/53990/business-development-graduate,"Control & Instrumentation, Electronics, Business.",Competitive,"Heathrow, Birmingham, Manchester and Newcastle",All grades,September 2024,Today,N/A,N/A
185,Graduate Audit - ACA Leeds Autumn 2024,https://www.gradcracker.com/hub/268/kpmg/graduate-job/62124/graduate-audit-aca-leeds-autumn-2024,"Finance, Accountancy, Business, Audit.",Competitive,Leeds,1 and above,September 2024,Ongoing,N/A,N/A
186,Customer Success Executive,https://www.gradcracker.com/hub/923/keyence/graduate-job/61426/customer-success-executive,"Business, Economics, Supply Chain & Logistics.","£28,000 + £2,700 Area Allowance (Total £30,700)","Stockley Park, Uxbridge (West London)",1 and above,Immediate Start,Ongoing,N/A,N/A
187,Graduate Audit - ACA Birmingham Autumn 2024,https://www.gradcracker.com/hub/268/kpmg/graduate-job/62126/graduate-audit-aca-birmingham-autumn-2024,"Finance, Accountancy, Business, Audit.",Competitive,Birmingham,1 and above,September 2024,Ongoing,N/A,N/A
188,Business Development – Graduate,https://www.gradcracker.com/hub/923/keyence/graduate-job/53992/business-development-graduate,"Control & Instrumentation, Electronics, Business.",Competitive,Dublin,All grades,September 2024,Today,N/A,N/A
189,Chemist II,https://www.gradcracker.com/hub/147/johnson-matthey/graduate-job/62219/chemist-ii,"Chemistry, Chemical.",Competitive,Royston (Herts),All grades,"September 6th, 2024",N/A,N/A,N/A
190,Graduate Naval Architect 2024,https://www.gradcracker.com/hub/96/kbr/graduate-job/61623/graduate-naval-architect-2024,"Naval Architecture, Marine, Hydrology.","£31,000 plus £2,000 joining bonus",Leatherhead (Surrey),2 and above,Ongoing,N/A,N/A,N/A
191,Graduate Instrument & Control Engineer 2024,https://www.gradcracker.com/hub/96/kbr/graduate-job/62193/graduate-instrument-and-control-engineer-2024,"Electrical, Control & Instrumentation, Energy, Chemical.",Competitive,Leatherhead (Surrey),Master's,Yes,Ongoing,N/A,N/A
192,Graduate Audit - ACA Manchester Autumn 2024,https://www.gradcracker.com/hub/268/kpmg/graduate-job/62122/graduate-audit-aca-manchester-autumn-2024,"Finance, Accountancy, Business, Audit.",Competitive,Manchester,1 and above,September 2024,Ongoing,N/A,N/A
193,Quality Graduate,https://www.gradcracker.com/hub/836/mcdermott/graduate-job/61719/quality-graduate,"Business, Project Management, Energy.",Competitve,Chiswick Park,All grades,Ongoing,N/A,N/A,N/A
194,Project Engineer,https://www.gradcracker.com/hub/1221/acculink-technology/graduate-job/60188/project-engineer,"Electrical, Systems, Telecommunications.",Competitive,Cirencester (Gloucestershire),All grades,Ongoing,N/A,N/A,N/A
195,Associate Piping Engineer,https://www.gradcracker.com/hub/836/mcdermott/graduate-job/61717/associate-piping-engineer,"Chemical, Mechanical, Manufacturing, Materials.",Competitive,Chiswick (London),Master's and above,Ongoing,N/A,N/A,N/A
196,Associate Mechanical Engineer,https://www.gradcracker.com/hub/836/mcdermott/graduate-job/61716/associate-mechanical-engineer,"Logistics, Business, Sustainability.",Competitive,Chiswick (London),Master's and above,Ongoing,N/A,N/A,N/A
197,Solar PV Sales Associate,https://www.gradcracker.com/hub/1012/midsummer-energy-ltd/graduate-job/60701/solar-pv-sales-associate,"Logistics, Business, Sustainability.","£26,000 - £28,000",Cambridge and Glasgow,2 and above,Yes,Immediate Start,Ongoing,N/A
198,Accelerated 2-Year Graduate Programme,https://www.gradcracker.com/hub/1304/mitie/graduate-job/61927/accelerated-2-year-graduate-programme,"Electrical, Systems, Energy, Renewables.",Competitive,"London, Chesterfield, Olney (Milton Keynes) and Bromsgrove (Worcestershire)",All grades,September 2024,Ongoing,N/A,N/A
199,Engineering Trainee - Hardware Coordinator,https://www.gradcracker.com/hub/398/mercedes-amg-hpp/graduate-job/61979/engineering-trainee-hardware-coordinator,"Hardware, Automotive, Mechanical.","£33,000",Brixworth (Northamptonshire),All grades,Ongoing,N/A,N/A,N/A
200,Business Analyst Graduate Programme - October 2024,https://www.gradcracker.com/hub/488/peregrine-future-talent/graduate-job/62168/business-analyst-graduate-programme-october-2024,"Economics, Statistics, Analytics, Business.","£25,500",Multiple UK Locations,2 and above,Yes,October 2024,"August 23rd, 2024",N/A
201,Electronics Production Engineer,https://www.gradcracker.com/hub/137/qinetiq/graduate-job/62451/electronics-production-engineer,"Aerospace, Aeronautics, Electrical, Mechanical.",Competitive,Ashford (Kent),All grades,Ongoing,N/A,N/A,N/A
202,Process Engineer Graduate,https://www.gradcracker.com/hub/55/procter-and-gamble/graduate-job/62322/process-engineer-graduate,"Mechanical, Electrical, Chemical, Process.",Competitive,Reading,All grades,Ongoing,N/A,N/A,N/A
203,Process Engineer Graduate,https://www.gradcracker.com/hub/55/procter-and-gamble/graduate-job/62327/process-engineer-graduate,"Mechanical, Electrical, Chemical, Process.",Competitive,London,All grades,Ongoing,N/A,N/A,N/A
204,Graduate Analyst Intake 2024,https://www.gradcracker.com/hub/1158/quick-release-automotive/graduate-job/61324/graduate-analyst-intake-2024,"Project Management, Analytics, Data, Statistics.","£33,000",Birmingham (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
205,Graduate Analyst Intake 2024,https://www.gradcracker.com/hub/1158/quick-release-automotive/graduate-job/61322/graduate-analyst-intake-2024,"Project Management, Analytics, Data, Statistics.","£33,000",Derby (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
206,Test Development Engineer,https://www.gradcracker.com/hub/137/qinetiq/graduate-job/62447/test-development-engineer,"Aerospace, Aeronautics, Electrical, Mechanical.",Competitive,Ashford (Kent),All grades,Ongoing,N/A,N/A,N/A
207,Graduate Consultant Intake 2024,https://www.gradcracker.com/hub/1158/quick-release-automotive/graduate-job/59457/graduate-consultant-intake-2024,"Automotive, Analytics, Aerospace.","£38,400",London,1 and above,Ongoing,N/A,N/A,N/A
208,Graduate Build Engineer – Off Highway Plant,https://www.gradcracker.com/hub/964/rail-ability/graduate-job/57740/graduate-build-engineer-off-highway-plant,"Automotive, Mechanical, Mechatronics.","£36,000 - £38,000",Stafford (West Midlands),1 and above,Immediate Start,Ongoing,N/A,N/A
209,Development Engineer – Off Highway Plant,https://www.gradcracker.com/hub/964/rail-ability/graduate-job/57739/development-engineer-off-highway-plant,"Automotive, Mechanical, Mechatronics.","£36,000 - £38,000",Stafford (West Midlands),1 and above,Immediate Start,Ongoing,N/A,N/A
210,Graduate Mechatronics Engineer – Off Highway Plant,https://www.gradcracker.com/hub/964/rail-ability/graduate-job/38581/graduate-mechatronics-engineer-off-highway-plant,"Mechatronic, Electronic.","£36,000 - £38,000",Stafford (West Midlands),1 and above,Ongoing,N/A,N/A,N/A
211,Emergency Responder - Chemistry Graduate,https://www.gradcracker.com/hub/1076/ricardo/graduate-job/62259/emergency-responder-chemistry-graduate,"Chemistry, Chemical.",Competitive,Harwell (Oxfordshire),1 and above,"August 23rd, 2024",N/A,N/A,N/A
